Country / territory,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
 Afghanistan,"20,136","14,278","14,501","17,248","18,080",,,,,,
 Albania,"15,271","17,985","19,189","23,633","27,084","29,939","32,411","34,208","36,358","38,657","41,115"
 Algeria,"164,774","185,850","225,652","248,087","269,140","288,013","284,984","291,065","297,245","303,879","308,997"
 Andorra,"2,885","3,325","3,376","3,786","4,038","4,408","4,715","4,855","5,001","5,157","5,318"
 Angola,"66,521","84,375","142,442","112,483","115,214","115,167","109,855","114,798","122,168","130,394","139,542"
 Antigua and Barbuda,"1,412","1,602","1,867","2,006","2,208","2,340","2,456","2,567","2,683","2,803","2,929"
 Argentina,"385,218","486,040","633,520","648,895","637,234","683,371","667,922","710,438","754,270","798,651","842,591"
 Armenia,"12,642","13,879","19,514","24,186","25,955","27,859","29,082","31,454","33,676","35,934","38,388"
 Aruba,"2,456","2,855","3,266","3,769","4,192","4,319","4,471","4,658","4,830","5,012","5,193"
 Australia,"1,362,665","1,655,838","1,725,433","1,742,311","1,795,492","1,829,508","1,948,227","2,036,053","2,132,013","2,228,386","2,335,258"
 Austria,"434,050","480,786","472,145","511,833","523,956","566,456","604,198","625,678","646,073","666,330","685,248"
 Azerbaijan,"42,693","54,825","78,807","72,428","74,316","76,390","80,024","84,547","89,615","95,052","100,823"
 Bahamas,"10,363","12,037","13,897","15,271","15,833","16,393","16,841","17,335","17,927","18,534","19,166"
 Bahrain,"35,838","40,840","46,458","46,192","47,110","47,391","49,194","51,339","53,799","56,505","59,377"
 Bangladesh,"373,902","416,265","460,201","451,534","450,461","475,011","519,288","550,283","596,228","652,936","716,740"
 Barbados,"5,168","5,275","6,257","6,721","7,169","7,559","7,944","8,344","8,758","9,195","9,656"
 Belarus,"61,312","68,207","73,735","71,792","76,208","85,739","90,556","94,681","99,486","103,864","108,074"
 Belgium,"529,269","598,920","594,081","644,840","664,365","716,980","761,174","780,384","802,019","824,347","849,306"
 Belize,"2,047","2,429","2,847","3,052","3,204","3,297","3,442","3,561","3,681","3,802","3,926"
 Benin,"15,674","17,699","17,439","19,679","21,487","24,402","27,453","29,780","32,298","34,897","37,733"
 Bhutan,"2,586","2,621","2,866","2,923","3,098","3,408","3,771","4,109","4,484","4,961","5,463"
 Bolivia,"36,897","40,701","44,329","45,464","46,967","57,086",,,,,
 Bosnia and Herzegovina,"20,264","23,688","24,581","27,606","29,614","33,237","36,239","38,082","40,004","42,005","44,106"
 Botswana,"14,930","18,750","20,321","19,411","19,356","19,186","20,708","22,333","24,136","26,386","28,775"
 Brazil,"1,476,092","1,670,650","1,951,849","2,191,137","2,179,413","2,256,910","2,292,690","2,413,082","2,535,726","2,670,791","2,814,461"
 Brunei,"12,006","14,006","16,682","15,095","15,463","15,565","16,457","17,575","18,477","19,506","20,442"
 Bulgaria,"70,658","84,477","90,719","102,434","112,232","127,924","142,203","151,081","159,772","168,285","177,260"
 Burkina Faso,"17,837","19,708","18,662","20,116","23,130","26,866","30,705","33,017","35,220","37,568","40,216"
 Burundi,"3,089","3,356","3,922","4,291","4,827","7,025","9,212","10,528","10,521","10,331","9,730"
 Cambodia,"34,898","36,797","39,089","42,404","46,098","48,802","51,506","55,269","59,550","64,293","69,565"
 Cameroon,"40,863","45,036","44,442","49,287","54,394","60,577","67,517","73,025","78,787","85,008","91,528"
 Canada,"1,655,685","2,022,382","2,190,411","2,173,340","2,243,637","2,283,599","2,420,837","2,539,681","2,652,785","2,771,982","2,910,474"
 Cape Verde,"1,829","2,053","2,252","2,501","2,726","2,915","3,138","3,362","3,595","3,845","4,102"
 Central African Republic,"2,480","2,672","2,515","2,721","2,831","3,300","3,708","4,098","4,429","4,790","5,212"
 Chad,"14,812","16,975","18,052","18,638","19,836","21,592","23,556","24,774","26,105","27,606","29,213"
 Chile,"254,060","315,411","301,270","335,627","330,210","347,174","363,299","380,530","396,837","413,810","431,103"
 China,"15,103,357","18,190,803","18,307,816","18,270,351","18,749,759","19,398,577","20,650,754","22,016,582","23,451,376","24,852,392","26,336,991"
 Colombia,"270,348","318,525","345,632","366,292","418,818","438,121","462,251","482,176","504,350","528,479","552,724"
 Comoros,"1,218","1,273","1,224","1,328","1,442","1,613","1,770","1,882","2,001","2,120","2,253"
 Costa Rica,"62,382","64,954","69,235","86,509","95,365","102,637","109,135","115,836","122,994","130,402","138,240"
 Croatia,"57,919","69,055","71,260","84,429","92,643","103,901","113,132","118,400","123,879","129,666","135,725"
 Cyprus,"25,535","30,393","30,960","33,897","36,322","39,943","43,158","45,088","47,362","49,735","52,205"
 Czech Republic,"251,110","290,973","301,831","345,059","347,034","383,384","417,134","433,435","450,450","467,644","485,675"
 Democratic Republic of the Congo,"51,912","57,718","66,161","67,426","74,498","82,262","88,126","93,862","100,438","107,977","115,223"
 Denmark,"355,631","406,110","400,115","404,652","424,525","459,612","500,051","521,566","542,455","563,668","585,835"
 Djibouti,"3,144","3,393","3,563","3,917","4,291","4,613","5,003","5,406","5,779","6,132","6,557"
 Dominica,504,555,607,654,698,748,791,831,873,914,957
 Dominican Republic,"78,625","95,067","113,813","120,794","124,613","129,748","138,340","148,480","159,305","170,854","183,123"
 Ecuador,"95,865","107,179","116,133","121,147","124,676","130,529","134,711","140,226","146,065","152,413","159,376"
 Egypt,"382,525","423,300","475,231","393,828","383,105","349,264","399,508","438,709","485,260","535,985","589,853"
